Player Name,Season,Number of Teams,Games In Season,Season Games Played,Season Goals,Season Assists,Season Points,Average Goals Per Game,Shots,Shots Per Game,Shooting Percentage,Save Percentage,Goals Against,Team,Player Games Played,Player Goals,Player Assists,Player Points,Position
League Total,2024-2025,32,15,250,1553,2616,4169,3.14,14600,58.4,10.6,0.9,2.9,,,,,,
League Total,2023-2024,32,82,1312,8086,13678,21764,3.11,79459,60.563,10.2,0.903,2.91,,,,,,
League Total,2022-2023,32,82,1312,8248,13936,22184,3.18,81963,62.472,10.1,0.904,2.97,,,,,,
League Total,2021-2022,32,82,1312,8150,13828,21978,3.14,82978,63.245,9.8,0.907,2.92,,,,,,
League Total,2020-2021,32,56,868,5031,8514,13545,2.94,52016,59.926,9.7,0.908,2.74,,,,,,
League Total,2019-2020,31,71,1082,6448,10816,17264,3.02,67960,62.81,9.5,0.91,2.82,,,,,,
League Total,2018-2019,31,82,1271,7577,12792,20369,3.01,79939,62.895,9.5,0.91,2.81,,,,,,
League Total,2017-2018,31,82,1271,7449,12615,20064,2.97,81210,63.895,9.2,0.912,2.78,,,,,,
League Total,2016-2017,30,82,1230,6704,11274,17978,2.77,74332,60.433,9,0.914,2.59,,,,,,
League Total,2015-2016,30,82,1230,6565,11043,17608,2.71,73145,59.467,9,0.915,2.51,,,,,,
League Total,2014-2015,30,82,1230,6549,11292,17841,2.73,73595,59.833,8.9,0.915,2.52,,,,,,
League Total,2013-2014,30,82,1230,6573,11296,17869,2.74,73893,60.076,8.9,0.914,2.56,,,,,,
League Total,2012-2013,30,48,720,3822,6603,10425,2.72,41964,58.283,9.1,0.912,2.54,,,,,,
League Total,2011-2012,30,82,1230,6545,11264,17809,2.73,73176,59.493,8.9,0.914,2.54,,,,,,
League Total,2010-2011,30,82,1230,6721,11543,18264,2.79,74757,60.778,9,0.913,2.61,,,,,,
League Total,2009-2010,30,82,1230,6803,11777,18580,2.84,74567,60.624,9.1,0.911,2.66,,,,,,
League Total,2008-2009,30,82,1230,7006,12137,19143,2.91,74298,60.405,9.4,0.909,2.73,,,,,,
League Total,2007-2008,30,82,1230,6691,11561,18252,2.78,71496,58.127,9.4,0.909,2.61,,,,,,
League Total,2006-2007,30,82,1230,7082,12392,19474,2.95,72775,59.167,9.7,0.905,2.77,,,,,,
League Total,2005-2006,30,82,1230,7443,12877,20320,3.08,73744,59.954,10.1,0.901,2.92,,,,,,
League Total,2003-2004,30,82,1230,6318,10752,17070,2.57,69007,56.103,9.2,0.911,2.46,,,,,,
League Total,2002-2003,30,82,1230,6530,11155,17685,2.65,69783,56.734,9.4,0.909,2.54,,,,,,
League Total,2001-2002,30,82,1230,6442,10867,17309,2.62,67851,55.163,9.5,0.908,2.51,,,,,,
League Total,2000-2001,30,82,1230,6782,11555,18337,2.76,68162,55.416,9.9,0.903,2.65,,,,,,
League Total,1999-2000,28,82,1148,6306,10647,16953,2.75,64230,55.949,9.4,0.904,2.64,,,,,,
League Total,1998-1999,27,82,1107,5830,9822,15652,2.63,61697,55.734,9.4,0.908,2.56,,,,,,
League Total,1997-1998,26,82,1066,5624,9349,14973,2.64,58290,54.681,9.6,0.906,2.53,,,,,,
League Total,1996-1997,26,82,1066,6216,10295,16511,2.92,63542,59.608,9.8,0.905,2.8,,,,,,
League Total,1995-1996,26,82,1066,6701,11166,17867,3.14,64503,60.509,10.4,0.898,3.04,,,,,,
League Total,1994-1995,26,48,624,3727,6201,9928,2.99,36618,58.683,10.2,0.901,2.89,,,,,,
League Total,1993-1994,26,84,1092,7081,11809,18890,3.24,66170,60.595,10.7,0.895,3.14,,,,,,
League Total,1992-1993,24,84,1008,7311,12315,19626,3.63,62464,61.968,11.7,0.885,3.53,,,,,,
League Total,1991-1992,22,80,880,6123,10299,16422,3.48,53689,61.01,11.4,0.888,3.37,,,,,,
League Total,1990-1991,21,80,840,5805,9748,15553,3.46,50082,59.621,11.6,0.886,3.35,,,,,,
League Total,1989-1990,21,80,840,6189,10347,16536,3.68,50846,60.531,12.2,0.881,3.56,,,,,,
League Total,1988-1989,21,80,840,6286,10505,16791,3.74,51024,60.743,12.3,0.879,3.63,,,,,,
League Total,1987-1988,21,80,840,6237,10375,16612,3.71,51139,60.88,12.2,0.88,3.62,,,,,,
League Total,1986-1987,21,80,840,6165,10199,16364,3.67,50407,60.008,12.2,0.88,3.56,,,,,,
League Total,1985-1986,21,80,840,6667,11027,17694,3.97,52169,62.106,12.8,0.874,3.87,,,,,,
League Total,1984-1985,21,80,840,6530,10870,17400,3.89,51387,61.175,12.7,0.875,3.79,,,,,,
League Total,1983-1984,21,80,840,6627,10889,17516,3.94,51406,61.198,12.9,0.873,3.84,,,,,,
League Total,1982-1983,21,80,840,6493,10689,17182,3.86,51326,61.102,12.7,0.875,3.8,,,,,,
League Total,1981-1982,21,80,840,6741,11173,17914,4.01,52269,62.225,12.9,0.873,3.95,,,,,,
League Total,1980-1981,21,80,840,6457,10532,16989,3.84,51261,61.025,12.6,0.876,3.78,,,,,,
League Total,1979-1980,21,80,840,5902,9592,15494,3.51,49386,58.793,12,0.883,3.46,,,,,,
League Total,1978-1979,17,80,680,4757,7820,12577,3.5,39964,58.771,11.9,0.883,3.45,,,,,,
League Total,1977-1978,18,80,720,4747,7745,12492,3.3,42168,58.567,11.3,0.889,3.26,,,,,,
League Total,1976-1977,18,80,720,4783,7787,12570,3.32,43226,60.036,11.1,0.891,3.28,,,,,,
League Total,1975-1976,18,80,720,4913,8025,12938,3.41,44069,61.207,11.1,0.89,3.37,,,,,,
League Total,1974-1975,18,80,720,4932,8026,12958,3.43,44345,61.59,11.1,0.89,3.38,,,,,,
League Total,1973-1974,16,78,624,3989,6483,10472,3.2,37885,60.713,10.5,0.896,3.16,,,,,,
League Total,1972-1973,16,78,624,4088,6716,10804,3.28,38815,62.204,10.5,0.896,3.24,,,,,,
League Total,1971-1972,14,78,546,3348,5404,8752,3.07,33842,61.982,9.9,0.903,3.02,,,,,,
League Total,1970-1971,14,78,546,3409,5569,8978,3.12,34813,63.76,9.8,0.903,3.09,,,,,,
League Total,1969-1970,12,76,456,2649,4276,6925,2.9,29786,65.32,8.9,0.912,2.88,,,,,,
League Total,1968-1969,12,76,456,2718,4477,7195,2.98,29316,64.289,9.3,0.908,2.95,,,,,,
League Total,1967-1968,12,74,444,2476,4020,6496,2.79,26997,60.804,9.2,0.91,2.75,,,,,,
League Total,1966-1967,6,70,210,1252,2054,3306,2.98,13351,63.576,9.4,0.907,2.96,,,,,,
League Total,1965-1966,6,70,210,1277,2114,3391,3.04,13230,63,9.7,0.904,3.02,,,,,,
League Total,1964-1965,6,70,210,1208,1960,3168,2.88,13076,62.267,9.2,0.909,2.85,,,,,,
League Total,1963-1964,6,70,210,1166,1915,3081,2.78,13784,65.638,8.5,0.916,2.75,,,,,,
League Total,1962-1963,6,70,210,1249,2024,3273,2.97,13363,63.633,9.3,0.908,2.93,,,,,,
League Total,1961-1962,6,70,210,1264,2090,3354,3.01,13299,63.329,9.5,0.906,2.98,,,,,,
League Total,1960-1961,6,70,210,1261,2080,3341,3,13523,64.395,9.3,0.908,2.96,,,,,,
League Total,1959-1960,6,70,210,1238,2061,3299,2.95,13276,63.219,9.3,0.908,2.92,,,,,,
League Total,1958-1959,6,70,210,1217,1987,3204,2.9,,,,0.906,2.87,,,,,,
League Total,1957-1958,6,70,210,1175,1942,3117,2.8,,,,0.909,2.78,,,,,,
League Total,1956-1957,6,70,210,1130,1821,2951,2.69,,,,0.911,2.65,,,,,,
